scientificName,commonName,observations,type
Ulmus minor ,Om ,,flora
Populus nigra ,Chop ,,flora
Fraxinus ornus ,Freix ,,flora
Rubus ulmifolius ,Esbarzer,,flora
Pisatacia lentiscus ,Llentiscle ,,flora
Phragmites australis,Canyís ,,flora
Thymus vulgaris,Timonet ,,flora
Sedum sediforme,Raim de pastor,,flora
Limniris pseudacorus,Lliri groc ,,flora
Rhamnus alaternus,Aladern ,,flora
Rhamnus lycoides,Arçot ,,flora
Rosmarinus officinalis ,Romer ,,flora
Olea europaea ,Ullastre ,,flora
Erica multiflora,Petorret ,,flora
Tamarix gallica,Tamarit ,,flora
Smilax aspera  ,Arítjol ,,flora
Viburnum tinus ,Marfull,,flora
Nerium oleander,Baladre ,,flora
Buteo buteo,Àligot comú ,Un ejemplar sobrevolant la zona.,aus
Circus aeruginosus ,Arpellot ,"Una femella o mascle jove sobrevolant la zona, amb el tipic vol baix que acostuma a fer.",aus
Anas platyrhynchos,Collverd,"S'observen freqüentment a la zona, punt d'alimentació. Poc problable que reprodueixca (amb exit)  a la zona degut a la temporalitat de les aigües. ",aus
Upupa epops,Paput,"S'observen mascles emitint cants per  atraure a les femelles, indica que l'espècie es posiblement reproductura en la zona.",aus
Columba palumbus,Tudó,S'observen sovint en parelles.,aus
Streptopelia turtur ,Tórtola europea ,S'observa una parella.,aus
Streptopelia decaocto,Tórtora turca,,aus
Falco tinnunculus,Xoriguer,"S'observa un mascle i una femella diferenciables per el diformisme sexual de l'espècie.
Molt probablement nidifiquen en la zona o  prop i en tot cas aquesta siga un punt d'alimentació.",aus
Fulica Atra,Fotja Comuna ,,aus
Gallinula chloropus,Polla d'aigua,,aus
Pica Pica,Blanca,,aus
Cistícola juncidis ,Trist,"Els avistament són  de mascle fent el vol de exibició junt el seu caracteristic cant
Ens indica que es possiblement reproductora a la zona.",aus
Cettia cetti,Rossinyol Bord,"Els avistaments corresponen a mascles de l'espècie que emeten cants  per marcar territori.
El marcaje del territori indica que es possiblement reproductora a la zona.",aus
Passer domesticus ,Teuladi  ,,aus
Carduelis carduelis,Cadernera,"S'observen mascles emitint cants per  atraure a les femelles, indica que l'espècie es posiblement reproductura en la zona.",aus
Chloris chloris,Verderol,"S'observen mascles emitint cants per  atraure a les femelles, indica que l'espècie es posiblement reproductura en la zona.",aus
Fringilla coelebs,Pinsà,,aus
Serinus serinus,Gafarro,"S'observen mascles emetent cant per atraure a les femelles, així com vols d'exhibició.
S'indica que l'espècie és possiblement reproductora en la zona.",aus
Delichon urbicum,Oreneta cuablanca,"Apareix alimentant-se a la zona.
Zona d'alimentació, per als hirundínids, l'aigua afavoreix l'aparició d'insectes que els serveixen d'aliment.",aus
Hirundo rustica,Oreneta comuna,"Apareix alimentant-se a la zona.
Zona d'alimentació, per als hirundínids, l'aigua afavoreix l'aparició d'insectes que els serveixen d'aliment.",aus
Cecropis daurica ,Oroneta cua-rogenca ,"Apareix alimentant-se a la zona.
Zona d'alimentació, per als hirundínids, l'aigua afavoreix l'aparició d'insectes que els serveixen d'aliment.",aus
Ptyonoprogne rupestris,Roquerol,"Apareix alimentant-se a la zona.
Zona d'alimentació, per als hirundínids, l'aigua afavoreix l'aparició d'insectes que els serveixen d'aliment.",aus
Motacilla alba,Coeta d'all,"Durant la migració de primavera,  s'observen molts exemplars alimentat-se a la zona.",aus
Erithacus rubecula,Pit-roig,,aus
Phoenicurus ochruros,Cueta roja,,aus
Parus major,Totestiu,"S'observen mascles emitint cants per  atraure a les femelles, indica que l'espècie es posiblement reproductura en la zona.",aus
Phylloscopus collybita,Mosquiter,"Molta presencia de mosquiter a la zona, aprofitant els salces i tamarius que es troben dintre de la lamina d'aigua com a cobertera per depredar insectes.",aus
Sturnus unicolor,Estornell negre,,aus
Syllvia  melanocephala,Retoret,"S'observen mascles emitint cants per  atraure a les femelles, indica que l'espècie es posiblement reproductura en la zona.",aus
Sylvia atricapilla,Tallarol de casquet,,aus
Turdus merula,Merla,"S'observen mascles emitint cants per  atraure a les femelles, indica que l'espècie es posiblement reproductura en la zona.",aus
Turdus philomelos,Tord,,aus
Luscinia megarhynchos ,Rossinyol ,"S'observen mascles emitint cants per  atraure a les femelles, indica que l'espècie es posiblement reproductura en la zona.",aus
Oriolus oriolus ,Oriol ,,aus
Egretta garzzeta ,Martinet ,,aus
Nyctiocorax nycticorax ,Martinet de nit ,,aus
Ardeaola ralloides ,Oroval ,Dos exemplars alimentant-se a la zona. ,aus
Porphyrio porphyrio,Gall de canyar ,,aus
Ardea cinerea,Agro Blau,S'observen individus alimentat-se en la zona. ,aus
Ardea purpurea ,Agro Roig ,,aus
Bubulcus ibis,Espluga bous,Quasi sempre un grup d'entre 15-20 iejemplars  alimentant-se en la zona.,aus
Plegadis falcinellus,Picaport,S'observen  alimentant-se a la zona.,aus
Tachybaptus ruficollis,Cabussonet,"S'observen individus que emeten nombroses senyals acustiques., 28/03/2025 observem dos polls de cabussonet, reproductor en la zona. ",aus
Phalacrocorax carbo ,Cormoràn gros,,aus
Merops apiaster  ,Abellerol ,,aus
Alcedo athis ,Blauet ,B34:I42I39B33:I42B31:I42I39B33:I42B28:I42I39B33:I42B25:I42I39B33:I42B22:I42I39B33:I42B19:I42I39B33:I42B18:I42I39B33:I42B16:I42I39B33A1:I42,aus
Apus apus ,Falcia ,,aus
Jinx torcilla ,Colltort comú ,,aus
Acrocephalus scirpaeus ,Boscarla de canyar,"S'observen mascles emitint cants per  atraure a les femelles, indica que l'espècie es posiblement reproductura en la zona.",aus
Hippolais polyglotta ,Bosqueta comú  ,"S'observen mascles emitint cants per  atraure a les femelles, indica que l'espècie es posiblement reproductura en la zona.",aus
Hyla meridionalis,Reineta  ,"Espècie rara al territori valencià, en el BDB sols citat a la Valldigna i a la Ribera Alta. ",ambfibis
Pelobates cultripes,Renoc cavador ,Espècie rara al territori valencià. ,ambfibis
Bufo spinosus ,Renoc comú  ,Atrapat en una petita bassa de reg  en desús que actua com a efecte trampa. Es troba aparentment es bon estat i es alliberat.,ambfibis
Pelophylax perezi ,Granota verda  ,Atrapada en una bassa de reg  en desús que actua com a efecte trampa. Es troba aparentment es bon estat i es alliberat.,ambfibis
"Pelodytes punctatus

",Granoteta de punts   ,Atrapada en una bassa de reg  en desús que actua com a efecte trampa. Es troba aparentment es bon estat i es alliberat.,ambfibis
Sus Scrofa ,Javalí ,"Presencia molt evident a la zona. Númeroses vegades captades en la caméra de fototrampeig. Els muncipis on és troba la zona, estan catalogades com a zones amb sobreabundància de senglar. ",mamífers
Vulves vulpes ,Rabossa ,,mamífers
Meles meles  ,Teixó  ,,mamífers
Genetta genetta ,Gineta ,,mamífers
Martes foina ,Fagina,,mamífers
Oryctolagus cuniculus,Conill,,mamífers
Natrix maura ,Serpeta pudenta , ,reptils
Natrix astreptophora,Serpeta de collaret   ,"Espècie rara al territori valencià, uniques cites BDB des de 2022, a la Valldigna  ",reptils
Tarentola mauritanica ,Andragó    ,Observada en un mur en un accés. ,reptils
